Country	Population in Millions	GDP per Capita
Yemen	29.88	$2,463.83
Slovenia	2.10	$33,875.85
Bahrain	1.51	$47,288.94
Afghanistan	36.64	$1,895.27
Zambia	17.43	$3,955.44
Cambodia	16.93	$3,793.35
Luxembourg	0.63	$98,841.31
Libya	6.89	$8,993.50
Senegal	15.74	$3,482.38
Latvia	1.88	$28,715.22
El Salvador	6.48	$7,895.26
Syria	19.40	$2,591.96
Laos	7.45	$6,625.13
Honduras	9.24	$5,013.35
Bosnia and Herzegovina	3.84	$11,687.91
Mongolia	3.17	$13,743.57
Trinidad and Tobago	1.21	$35,448.70
Estonia	1.23	$33,899.71
Mali	19.55	$2,108.07
North Korea	25.64	$1,559.85
Georgia	4.00	$9,969.98
Madagascar	26.96	$1,478.35
Botswana	2.32	$16,834.73
Mozambique	30.10	$1,232.30
Gabon	2.23	$16,432.77
Nicaragua	6.20	$5,867.71
Albania	3.07	$11,712.17
Burkina Faso	20.84	$1,720.63
Zimbabwe	14.55	$2,355.92
Brunei	0.46	$72,920.57
Cyprus	1.27	$25,089.29
Equatorial Guinea	0.84	$37,695.32
Macedonia	2.13	$14,595.68
Papua New Guinea	7.26	$4,158.71
Chad	16.88	$1,695.76
Tajikistan	8.87	$3,203.86
Armenia	3.02	$9,379.99
Mauritius	1.38	$20,494.94
Guinea	12.53	$2,232.70
Namibia	2.63	$10,113.79
Jamaica	2.81	$9,278.74
Benin	12.86	$1,973.63
Rwanda	12.71	$1,941.41
Moldova	3.36	$7,050.09
Kyrgyzstan	5.96	$3,881.04
Malawi	21.20	$1,057.72
Niger	22.77	$959.94
West Bank	2.90	$7,317.16
Somalia	11.76	$1,738.52
South Sudan	10.56	$1,894.66
Haiti	11.07	$1,804.34
Kosovo	1.93	$10,140.86
Malta	0.46	$42,119.81
Iceland	0.35	$51,834.15
Mauritania	4.01	$4,314.10
Togo	8.61	$1,506.66
Eswatini	1.10	$10,502.69
Sierra Leone	6.62	$1,743.41
New Caledonia	0.29	$38,309.16
Montenegro	0.61	$18,168.13
Eritrea	6.08	$1,546.08
Suriname	0.61	$14,252.69
Fiji	0.94	$9,219.27
Burundi	11.87	$674.80
Monaco	0.04	$196,717.95
Timor-Leste	1.38	$5,366.68
Bhutan	0.78	$9,209.81
Maldives	0.39	$17,608.90
Isle of Man	0.09	$75,050.55
Lesotho	1.97	$3,379.82
Guyana	0.75	$8,399.05
Bermuda	0.07	$85,393.73
Liberia	5.07	$1,204.74
Guam	0.17	$34,382.88
Jersey	0.10	$55,098.79
French Polynesia	0.30	$18,602.54
Barbados	0.29	$17,714.56
Liechtenstein	0.04	$127,194.22
Aruba	0.12	$34,815.96
Virgin Islands	0.11	$36,447.50
Cabo Verde	0.58	$6,475.73
Djibouti	0.92	$3,948.78
Guernsey	0.07	$51,676.31
Central African Republic	5.99	$565.86
Andorra	0.08	$43,207.79
Belize	0.40	$8,053.09
Guinea-Bissau	1.93	$1,645.47
Curacao	0.15	$20,668.01
Seychelles	0.10	$28,651.50
Saint Lucia	0.17	$15,268.46
Cayman Islands	0.06	$40,472.04
Greenland	0.06	$41,880.73
Antigua and Barbuda	0.10	$24,424.78
San Marino	0.03	$60,294.46
Gibraltar	0.03	$69,098.41
Faroe Islands	0.05	$38,758.04
Grenada	0.11	$14,448.16
Saint Kitts and Nevis	0.05	$28,799.17
Solomon Islands	0.69	$1,941.33
Comoros	0.85	$1,558.58
Saint Vincent and the Grenadines	0.10	$12,476.58
Northern Mariana Islands	0.05	$24,147.92
Samoa	0.20	$5,579.71
Western Sahara	0.65	$1,389.76
Dominica	0.07	$10,546.45
Vanuatu	0.30	$2,587.71
Sao Tome and Principe	0.21	$3,249.31
American Samoa	0.05	$13,309.87
Turks and Caicos Islands	0.06	$11,300.65
Tonga	0.11	$5,570.48
Saint Martin	0.03	$17,247.20
British Virgin Islands	0.04	$13,375.78
Sint Maarten	0.04	$8,342.65
Cook Islands	0.01	$34,977.84
Palau	0.02	$12,174.31
Saint Pierre and Miquelon	0.01	$48,868.52
Kiribati	0.11	$2,030.48
Falkland Islands (Islas Malvinas)	0.00	$64,540.34
Marshall Islands	0.08	$2,515.50
Anguilla	0.02	$9,695.96
Montserrat	0.01	$31,155.78
Nauru	0.01	$14,545.45
Wallis and Futuna	0.02	$3,784.53
Tuvalu	0.01	$3,703.05
Niue	0.00	$5,005.00
Tokelau	0.00	$910.75
